start	end	text
31	1695	So we're going to get through a foam roller circuit.
1836	3540	I have a long roller from Skills.
3800	10678	You can do long or you can do one of the shorter rollers that you can get from Skills online, or you can just get it from Walmart or Target.
11039	16352	So the first muscle that we're going to focus on is the glutes, one of the most important muscles for us to foam roll.
16332	19536	So you can either go this way or you can go vertical.
19876	28726	So if you go this way we're just going to lean over to one side and then I'm just going to roll from the bottom of my glute all the way up to the top of my glute.
29047	35474	Now always if we want more pressure we can cross over here and add a little more pressure to make it a little tougher.
36175	42542	Or we could go vertical here and then we can lean over and get the glute horizontally as well.
42522	44846	So the next one we're going to move down the posterior chain.
44886	46288	We're going to focus on the hamstrings.
46628	55021	So I'm just going to sit on the roller and I'm going to cross over this foot and I'm just going to roll from the bottom of my glute all the way to the top of my knee.
55402	67180	So I'm just going to start in the center and then I'm gradually going to rock over a little bit so I can get the outside of my hamstrings and then I'm going to rock to the inside so I can get the inside of my hamstrings.
67430	69192	Now the next one we're going to do is the calves.
69493	72917	So we're just going to cross over and I'm going to push myself up.
72997	81208	So my hips are off the ground and I'm just going to roll basically from the bottom of the knee all the way up to the top of the ankle.
81268	86795	So we're going over that calf and also over that Achilles and our next one we're flipping over.
86875	90019	We're going hip flexor all the way down to the quad.
90059	97369	So I'm going to go on the side of the roller now and I'm just going to come down into a plank position and I'm going to roll
97349	103658	from that hip flexor all the way down towards the top of my thigh.
104380	107364	So I'm getting my whole quad in this one.
107404	113053	And if you can't get down to the quad muscles around your knee, then start here and finish.
113513	120083	And then you would scoot up and then just focus on those lower quad muscles down around the knee.
120063	122949	Our next one's gonna be for the adductors, that's the inside of the leg.
123149	124872	So a lot of different ways that we can do this.
125193	139000	The way that I like to go is I like to just turn that roller here, come in a plank position, bring this foot up, and I'm just rolling from the inside, the top of the knee, all the way up through the groin area.
140735	147545	So we could go bent leg there or we could go straight leg there for a little bit deeper of a roll.
147746	151331	So after we're done with the foam rolling circuit, I like to get out a lacrosse ball.
151611	154876	You could use a golf ball, a baseball, anything hard.
155437	158121	And I'm just going to really dig into that heel.
158141	159824	So I'm going to apply some pressure in there.
160124	164110	I'm going to go from the heel all the way down through the ball of the foot.
164090	167056	And I'm going to really loosen up that fascia.
167617	173528	A lot of times our fascia of the feet take a lot of excess stress because we're on our feet all day.
173849	175372	We're moving, we're cutting, we're jumping.
175713	178538	We got to really start to loosen that up.
179918	184570	Now after that, it's optional if you want to go up and work on the smaller muscles of the hip.
184831	188340	You can work on the smaller muscles of the shoulder up against a wall if you'd like to.
188360	193553	I just want to make sure that we get that foam roll circuit and we get that lacrosse ball on the feet.
193914	195598	Everything else is extra credit.
198683	202429	So the first thing we're gonna do for our dynamic warmup is stationary skips.
202710	205274	Now for all of these, you can take them on the move if you want.
205355	209321	For right now, I'm just gonna do them stationary just in case you don't have much room.
209822	216574	So we're just going up with the right, up with the left, just like we're running and vice versa on that other side.
216554	220419	I'm staying stiff with the feet, so I'm not letting my heel collapse.
220459	225385	I want to stay on the ball of the foot and I'm just going to go about 50% of my max speed.
225726	227168	I'm not going too fast yet.
227468	229871	We're going to go for 30 seconds on the skips.
229891	234437	For the seal jacks, it's basically like a jumping jack, except I'm going to coordinate arms with the legs.
234457	240064	So I'm going to go over with the right and over with the right hand at the same time, back to neutral.
240044	256568	over with the left over with the left hand and then i'm just gonna speed that up i'm gonna get a good little rhythm going here maybe somewhere between 30 and 50 percent of your max speed so we're not all out we're just getting that blood flowing we're gonna go for 30 seconds
256548	260993	For the over-under hamstring stretch, I'm just gonna go over with the left leg.
261314	263136	I'm gonna come down, touch the toe.
263196	272447	Now, if you can't touch the toe without rounding the back, then just go mid-shin or even to the knees, just as low as we can, but we don't wanna go to the point where we have to round our back.
272968	280497	Okay, so I'm gonna get down, touch my toes, back to neutral, and then I cross over the other way, and I'm going the other side.
284138	288505	All right, we're gonna go five over and back, so it's 10 total touches.
288725	294034	For the quad hamstring leans, I'm just gonna go into a quad stretch, so I'm gonna pull my right foot up.
294335	300885	I wanna make sure that my heel is touching my hip in that position, and I'm not out like this, I'm keeping that knee in.
301306	309319	Now from there, I'm gonna keep the left knee straight, and I'm just gonna go into a lean as low as I can,
309299	331155	so i'm getting a really good stretch in the quad by going down and getting my knee back i'm getting it into the hip flexor a little bit more and i'm getting this hamstring a good stretch and i'm also working on my balance at the same time i'm going to go five leans and then i'm going to switch over five leans on the other side for the hip opener we're going to go push up position
332080	335708	I'm going to go left leg up outside this left hand.
336129	338515	Now from here, I'm just going to rotate up and hold.
338575	340579	One, two, three.
340639	342925	Now I'm going to go elbow down towards the floor.
343245	345270	We might not be able to touch the elbow to the ground.
345310	345911	That's okay.
346232	347816	Let's just get as low as we can there.
348317	349279	One, two, three.
349259	350983	three and back up.
351023	353028	So three there, three there.
353368	359663	I'm gonna go five cycles and then I'm gonna switch to the other side, five and five, same thing.
359763	363231	For the adductor hip flexor combo, I'm going lateral with one skip.
363271	367200	So it's one skip lateral and I'm going down, I'm trying to touch this floor
367180	372350	Keep this knee straight because I want to get that stretch on the inside of the leg in this adductor.
372670	379603	I'm going back with the hip like I would in a normal squat, and I'm getting nice and low, touch the floor, and I'm popping out to that other side.
380064	383130	All right, so let's just hold about one second at the bottom.
383110	404747	and pop out i need five of these down and back so it's 10 total and then i immediately go into a hip flexor same thing with the skip and now i land i turn this foot forward i pivot i'm here knee a couple inches off the floor i'm gonna rotate hold one and then come back and it's to the other side
409705	416233	At the bottom of this stretch, I'm gonna get that really good stretch in the hip flexor, and I always need to turn towards the lead leg.
416253	417715	Don't make the mistake of going here.
418095	426146	You need to rotate towards that lead leg as far as we can, and I'm gonna feel it through that hip flexor, and then I pop out to the other side.
426266	432133	For the overhead deep squat progression, I'm going high with the hands, basic squat stance, so I'm a little wider than shoulder width.
432213	436118	I can point the toes out just a little bit, and then I'm just gonna go here,
436098	437802	It's going to be a hamstring stretch.
438063	440007	One, two, three.
440148	443115	Keep the hands down and come into a deep squat.
443295	445500	Try to stay back on your heels if you can.
446162	447866	One, two, three.
447926	449430	Rock forward.
449510	450532	So I'm on my toes now.
451034	453259	Drive the knees out with the elbows.
453299	453640	Hold.
454261	454562	One, two.
454542	473783	two, three, rock it back, heels back down to the ground, one, two, three, I need one hand up, two hand up, not out here, we need it back behind the head, and stand, alright, so that's one cycle, we're gonna go for three of these, so it's one, two, three,
474134	476397	One, two, three, lean.
477178	479441	One, two, three, heels back down.
479501	483526	One, two, three, one up, two up, stand, all right?
483806	492136	If you cannot get down in that deep position, then let's just go as low as we can right here, and then on the lean, it's just gonna look like this, all right?
492156	496522	And then we're gonna come back, hopefully parallel to the floor, one up, two up, stand.
496882	503230	We just gotta get as low as we can, and every day try to progress so that we can get lower and lower, better range of motion.
503210	506033	So for the hip bridge, it's gonna be a very basic hip bridge.
506073	508375	Even if you're an advanced athlete, I want you to do this version.
508775	511558	So we're gonna get up nice and flat in a hip bridge.
511898	513600	I need to be flat through the hips.
513900	516302	I'm driving through my midfoot right now.
516823	521267	And now I'm just gonna squeeze my glutes together as hard as I possibly can.
521628	524430	So just holding in this position isn't that difficult.
524691	532558	But if I squeeze my glutes together as hard as I can so they're rock solid, I'm gonna get a really good isometric contraction
532538	542479	and I'm gonna activate a lot of muscle fibers, and we're just gonna hold in this position for 25 seconds with a full squeeze, and then relax.
542920	551458	This is all for hip activation, getting those glutes fired up, it's the most powerful muscle in the body, so we gotta get them revved up for our session.
553177	581513	So with my shoulder elevated bridge march, my shoulders are gonna be on a bench, hips up.
582758	585424	From here, I'm really focusing on glutes and hamstrings.
586065	600919	I'm gonna drive, get that 90 degree angle at the knee, same while keeping those hips up, and bring it down controlled, making sure those hips stay nice and stable, driving up opposite leg, and down nice and controlled.
618128	626256	This exercise is one of my favorite for getting people into lateral plyometrics, which takes your ankle, your feet, spring and health to a whole nother level.
626296	630420	Now I need you to do this pain free and that's why we're starting at such a low point.
630681	632262	Now a lot of you guys can skip this.
632643	637447	If you do level one pain free, keep moving on until you find the level that actually challenges you.
637768	639289	There is seven levels here.
639590	643073	Okay, but I want you all to start at level one, feel it out and then gradually work up.
643053	670984	so for your first level we need to deload our body weight so we use assistance so i can get two stable chairs and i can just push down into those chairs and that deloads my body weight i could also hook some bands around a power rack and hold on to those bands right below my chin because that deloads my body weight you could hold on to some poles or hold on to a power rack hold on to a friend's shoulders so find some way to have it assisted and deload your body weight personally i like to use chairs whenever possible
670964	695537	i'm going to set up in a split stance okay most of my pressure is on this front foot but i do want to keep this back foot down because that provides a second form of assistance all right as we progress later on we will pick it up and go to a true single leg hop but for your first couple levels i do want that back foot down all right so i'm in this split stance and this thigh is shooting straight down and i'm on the ball of the foot here
696142	704572	I'm gonna come to the balls of the feet on the front foot so that heel is lifted just off the ground, and I'm gonna use a marker, and I'm gonna mark out six inches, okay?
704912	709277	So just mark out a couple lines, it could be pieces of tape, whatever you want, at six inches.
709338	718268	So I know that I need the outside of my foot, outside of this one, and the inside of my foot, my big toe, outside of this one when I'm going side to side, all right?
718248	719650	So I'm set up in my split stance.
720090	722313	For the first variation, it is a double hop.
722333	728542	We're not ready to redirect all that energy yet, so I want you to get there and do a little double hop and then push to the next side.
728582	731826	So it's one, two, one, two, one, two, one, two.
731966	741859	If you're starting at baseline and you haven't done plyometrics in a really long time, you might wanna push pretty hard into the chairs or have a lot of band tension to really deload your body weight.
741839	743843	and I'm just doing this little side to side.
744544	746528	I'm not even fully extending my knee.
746548	751497	I'm keeping that knee with that slight bend and I'm just doing a double hop and hopping over to that other side.
751717	754041	If you can do that pain free, let's move on to level two.
754222	759772	Level two is the same exact setup, but now I take away the double hop and now I'm just springing side to side.
760233	762717	So I want a good short ground contact
762697	787506	and I'm going side to side one key point for all these variations is I want the toes forward so when you come here we're not turning the feet the toe stays forward the whole time so I'm really strengthening up medial ankle here I'm really strengthening up lateral ankle here alright so toes straight forward side to side if you can do that pain free we can start to kind of decrease that assistance a little bit to where I'm maybe just holding for a little bit of balance
787621	788422	And let's work there.
788462	792649	If I can do that pain-free, now I'm gonna go on to level three.
792869	794752	For level three, we have the same setup.
794792	797636	I'm still at six inches, but I removed the hand support.
797877	800921	So now the only additional support I have is this back leg.
800961	802484	And again, I'm light on this back leg.
802504	806630	So this is almost a true unilateral single leg hop, but not quite.
806670	808834	I still have a little bit of pressure in that back leg.
809234	811738	And now I'm just side to side.
811718	817711	quick springy ground contacts, and I'm just getting six inches over and back, okay?
817731	821098	If I can do that pain-free, let's move on to level four.
821358	824384	In level four, we're removing the training wheels, all right?
824465	826268	Now it's time to really get on one leg.
826349	828192	It's a true unilateral hop.
828212	829415	I'm springy side to side.
829455	832782	I'm still only getting six inches, so I'm right here.
832762	854618	i want to maintain that quick ground contact and i'm just back and forth all right true single leg hop so we just went from jv to varsity now let's go division one so level five and of course we've got to be pain free we've got to be feeling good if you are pain free we're going back to that single leg hop but now i'm taking it to 12 inches okay so i move out my markers
854598	862711	You technically don't have to have the markers, but I love to just be able to measure it and know that I'm progressing the right way, and I have a goal with that distance.
862771	868841	So now I'm just single leg back and forth, covering 12 inches, all right?
868861	870864	Nice and springy if I'm pain-free.
871245	872627	Now we're going pro, okay?
872988	874070	This is level six.
874490	876854	At level six, I'm going to 18 inches.
877555	879238	Move my markers out.
879607	882213	Now, as we get further, you can't get off balance.
882293	883275	You can't get sloppy.
883295	889248	If you feel sloppy or you're getting stuck in quicksand, long ground contacts revert back to the previous level.
889689	890331	Master that.
890692	893919	Build up the endurance as well at that level and then move up.
894139	896805	So at level six, now I'm at 18 inches.
896937	900805	And I still got to be nice and springy, short ground contact time.
901487	905556	Do notice the farther I get, I don't want your body to come all the way with you.
905876	910527	So it's not like this because then the foot doesn't really hit the angles that we're trying to work.
910767	913072	We're trying to work these angles, right?
913473	916279	Angles that we really see in sports.
916259	939786	so I got to keep my body relatively in the center and let my foot move so when I'm here I got to think about my shoulders are still in the middle and when I'm here shoulders stay in the middle so it's like my chest doesn't move and it's just the foot going back and forth because if I just jump like this you see how I'm not getting those same angles okay now level 7 if we're a hundred percent pain-free
941521	970566	this is where we go to stud ninja level 24 inches springy back and forth boom same thing keeping that chest in the center and just letting that lower body go back and forth all right so now these angles are getting bigger the forces on the foot and ankle are high and it's rapid loading it's fast loading so this is what really starts to prepare us for sports and keep in mind guys when you go to make a cut if the foot and the ankle give out that's when you see
970546	988251	knee valgus that's when you see achilles problems and acl and other things a lot of it starts from ankle instability in these positions so this is one of the best drills now the only way that i would progress this is i would go a weighted vest most athletes don't get here because we're going higher repetition
988231	995457	But if you're feeling good and bouncy and pain free, there's nothing wrong with starting with a light weighted vest and gradually going up on that weighted vest.
995477	1007768	Now in the case of the 1% freak athlete who gets here, they're feeling springy and bouncy and they run out of weighted vest, like they go beyond 20 and their gym doesn't have 20, then we can start progressing by adding some height.
1007788	1009009	So I could add like a little hurdle.
1009329	1012532	Say we add like a 6 inch or a 12 inch hurdle right there in the center.
1012953	1018137	Now I can progress by actually adding a little bit of height along with that distance.
1018117	1019940	So we'll call those the optional levels.
1020100	1022143	Let's say level eight is the way to vest.
1022163	1024566	Let's say level nine would be the height.
1024906	1029212	And let's say level 10 would be the way to vest and the height over that hurdle.
1029433	1029653	All right.
1029853	1031476	But remember, this is extensive plyos.
1031536	1032938	We're going for high repetition.
1033318	1035822	So don't try to be Superman and go straight there.
1036122	1038806	We do want these lower level ground contacts.
1038826	1044373	And that's what really builds the actual structure of the foot and of the ankle and lower leg.
1044694	1045575	Let's get to work.
1066160	1072309	So for our standing vertical jumps, what we're doing here is just working on our standing vertical mechanics.
1072629	1083085	Nothing fancy, but we have to lay down that foundation right now so that we can set you up for the other jumping phases, the other biometric phases that are going to come in the future.
1083445	1085608	So I just want you to jump as high as you can.
1085829	1088052	We're not going to go rapid off the ground.
1088072	1095643	We're going to land and we're going to stick for one second so that you can kind of self-check and just become aware of your body positioning.
1095623	1097728	Now, if you can do this in a mirror, great.
1098069	1102982	If you can film yourself, especially if you can film yourself in slow motion, that's even better.
1103343	1105669	Okay, so I'm just going to jump as high as I can.
1105709	1110983	I'm going to stick for one second, and then I'm going to stand up and go again.
1110963	1114427	Work on jumping as high as you can with perfect mechanics.
1115168	1126823	If you don't know what perfect mechanics are, of course refer back to the mechanics section and really go in and kind of audit your jumping style and figure out what exactly it is that you're doing wrong.
1126963	1134473	We're going to lay that foundation right now so that in the future we can really start to get results when we go into our plyometric phase.
1156154	1163187	For the rear foot elevated progressions, first I want you to prove to yourself that you can master a regular body weight split squat.
1163648	1165412	And so come into that split squat position.
1166033	1168518	On this one, make sure that your shoulders stay above the hips.
1168878	1173387	You can just hold onto bands or hold onto a chair if you need it for some additional support.
1173367	1191831	and then just drop straight down right so we're here the knee should be kind of right above the toe not beyond the toe on this variation and then I'm coming back up all right see if you could touch that back knee to the ground or just hover it two inches off the floor or put a little pillow or a pad beneath that knee tap
1192182	1193384	and come back up, all right?
1193744	1199653	As long as you can do that pain free, and if you can't, you can always use more support with the hands and really deload your body weight.
1200114	1208086	If you pass that pain free and you're feeling good, then go body weight, and I'm just dropping straight down, regular split squat, all right?
1208506	1212913	If you can do that pain free, now let's move on to the actual rear foot elevated.
1212933	1215557	So level three is where the rear foot elevated actually starts.
1215577	1217239	Let's bring back our assistance.
1217520	1221666	Some of you guys don't even have to mess with this stage if you're experienced and you've done this before.
1221646	1224049	But if this is your first time, you might want to use some assistance.
1224590	1225651	Take a good size step.
1226112	1228274	Put your hands on the chairs or hold your band.
1229075	1232440	Put your back foot up and I want the shoelaces down on the bench.
1232480	1233981	I don't want you curled like this.
1234482	1237186	Ideally, this bench is going to be below knee height.
1237566	1239609	If it's above knee height, it's going to be too high.
1239629	1242552	It's going to be more of a hip flexor stretch than a strengthening exercise.
1243073	1244174	So take a good size step.
1244535	1246337	Put your back foot up here.
1246317	1272493	come down to the floor and ideally you have a little pillow or a pad that you can rest your knee on set up from the bottom up always so this is our start position and i want to get my knee right above my toe okay so i draw a straight line down from the knee it's right above the toe and then from there i lift so i'm here and then i come all the way back down tap that knee or get it about two inches off the floor
1272473	1294212	and come back down if I master that pain-free I can get rid of my assistance same thing now body weight again reset from the bottom always knees above the toe I don't want all of your pressure on the toes I want equal pressure between the heel and the toes and you're really thinking about kind of pushing through that midfoot and so I'm here
1294377	1295159	Come back down.
1295319	1295600	Tap.
